tolerance,attack_type,scenario_family,normal_false_rejection_rate,records,tp,tn,fp,fn,precision,recall,f1,false_acceptance_rate,false_rejection_rate
1.04,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.04,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.04,above_bound,physics_impossible,0.0,36000,1716,34200,0,84,1.0,0.9533333333333334,0.9761092150170648,0.04666666666666667,0.0
1.04,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.04,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.04,sensor_drift,temporal_persistence,0.0,36000,2453,32932,0,615,1.0,0.7995436766623207,0.8886071363883354,0.20045632333767927,0.0
1.04,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.04,replay_attack,temporal_persistence,0.0,36000,741,33840,0,1419,1.0,0.34305555555555556,0.5108583247156153,0.6569444444444444,0.0
1.04,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.04,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.04,intermittent_burst,temporal_persistence,0.0,36000,385,35564,0,51,1.0,0.8830275229357798,0.9378806333739342,0.11697247706422019,0.0
1.045,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.045,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.045,above_bound,physics_impossible,0.0,36000,1714,34200,0,86,1.0,0.9522222222222222,0.9755264655663062,0.04777777777777778,0.0
1.045,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.045,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.045,sensor_drift,temporal_persistence,0.0,36000,2431,32932,0,637,1.0,0.7923728813559322,0.8841607565011821,0.2076271186440678,0.0
1.045,weather_spoofing,context_spoofing,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.045,replay_attack,temporal_persistence,0.0,36000,730,33840,0,1430,1.0,0.33796296296296297,0.5051903114186851,0.6620370370370371,0.0
1.045,neighbor_inconsistent_attack,coordination_inconsistency,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.045,coordinated_near_bound,coordinated_stealth,0.0,36000,0,34055,0,1945,0.0,0.0,0.0,1.0,0.0
1.045,intermittent_burst,temporal_persistence,0.0,36000,384,35564,0,52,1.0,0.8807339449541285,0.9365853658536586,0.11926605504587157,0.0
1.05,dataset_fdia,original_dataset,0.0,36000,1551,34200,0,249,1.0,0.8616666666666667,0.9256938227394808,0.13833333333333334,0.0
1.05,nighttime_impossible,physics_impossible,0.0,36000,1440,34560,0,0,1.0,1.0,1.0,0.0,0.0
1.05,above_bound,physics_impossible,0.0,36000,1714,34200,0,86,1.0,0.9522222222222222,0.9755264655663062,0.04777777777777778,0.0
1.05,near_bound,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
1.05,within_bound_fraud,stealth_physical_boundary,0.0,36000,0,34200,0,1800,0.0,0.0,0.0,1.0,0.0
